monthly_charges,total_charges,contract_type,tenure,tech_support,churn
49.63,1885.94,two year,48,no,yes
74.08,5259.68,one year,20,,no
58.19,1396.56,one year,7,,no
53.38,1548.02,two year,49,,no
46.51,1674.36,,35,yes,yes
36.05,1658.3,two year,19,yes,no
80.19,5613.3,one year,36,yes,no
115.53,4043.55,two year,5,yes,no
53.47,3529.02,one year,44,no,no
58.87,1354.01,two year,45,yes,yes
31.98,543.66,one year,69,yes,no
,3192.57,two year,20,yes,no
47.42,2039.06,month-to-month,37,no,no
71.37,71.37,month-to-month,41,yes,no
51.87,2749.11,one year,43,,yes
71.27,712.7,one year,54,no,no
26.4,1504.8,two year,53,,no
89.89,5213.62,two year,37,no,no
99.35,6954.5,one year,61,no,yes
70.41,1126.56,month-to-month,44,no,no
104.42,5012.16,,65,yes,no
71.73,3514.77,month-to-month,68,yes,yes
,2713.76,month-to-month,40,no,no
60.92,1705.76,two year,28,yes,no
52.43,1572.9,two year,58,yes,no
115.54,7394.56,one year,9,yes,no
48.72,2679.6,month-to-month,50,yes,no
69.19,4774.11,two year,17,yes,no
115.49,3233.72,month-to-month,40,yes,yes
26.34,816.54,one year,6,yes,no
107.15,7179.05,one year,28,no,no
101.74,5087,month-to-month,59,no,no
114.27,2856.75,,51,no,yes
110.33,6730.13,month-to-month,47,yes,yes
,1571.14,two year,45,no,yes
115.81,2547.82,month-to-month,9,no,no
30.08,1895.04,one year,19,no,yes
42.64,2174.64,month-to-month,30,no,no
90.61,3624.4,month-to-month,6,yes,no
80.42,3860.16,one year,2,yes,yes
52.08,1093.68,two year,66,yes,no
44.95,764.15,two year,16,no,no
55.05,3082.8,two year,4,no,no
115.98,5799,month-to-month,9,no,no
47.39,,one year,8,yes,yes
76.37,2443.84,two year,47,no,no
101.96,7239.16,two year,3,yes,no
33.07,793.68,two year,22,no,no
59.5,4105.5,two year,30,yes,no
44.21,3050.49,one year,61,,yes
65.82,592.38,month-to-month,31,yes,no
114.38,6748.42,two year,72,yes,yes
35.72,2321.8,month-to-month,72,no,no
98.32,1671.44,two year,33,yes,yes
60.38,2898.24,one year,15,yes,no
107.75,2693.75,two year,55,no,no
86.38,5096.42,two year,10,yes,yes
26.65,1039.35,,37,yes,yes
34.07,2316.76,,24,no,no
20.6,782.8,two year,33,no,no
78.68,5192.88,two year,7,yes,no
114.29,1485.77,one year,64,no,yes
68.53,3837.68,,2,yes,no
58.8,2058,two year,5,no,yes
98.35,5409.25,month-to-month,38,yes,no
56.46,282.3,month-to-month,71,no,no
110.25,1984.5,one year,56,,yes
114.5,1030.5,month-to-month,37,yes,no
44.01,,two year,6,,no
76.83,2304.9,month-to-month,29,no,yes
75.54,2341.74,month-to-month,68,no,yes
118.12,5906,one year,59,no,yes
38.19,687.42,month-to-month,60,yes,no
93.6,,one year,46,no,no
20.85,562.95,month-to-month,59,yes,no
55.71,3843.99,one year,44,yes,no
79.67,1513.73,one year,56,no,no
31.75,571.5,two year,26,no,no
116.94,4794.54,one year,65,,no
84.4,5823.6,two year,53,yes,no
63.78,2551.2,month-to-month,37,yes,no
53.34,1386.84,two year,27,yes,yes
100.72,3625.92,two year,44,yes,no
76.23,5183.64,two year,24,no,yes
,6533.73,month-to-month,39,no,yes
50.53,2981.27,month-to-month,25,yes,no
114.43,4005.05,month-to-month,13,,yes
34.09,545.44,one year,51,no,yes
23.04,1221.12,two year,64,yes,no
83.46,4089.54,two year,50,no,yes
84.85,424.25,one year,60,no,yes
23.89,621.14,one year,26,yes,no
56.5,3503,month-to-month,26,yes,yes
108.25,1515.5,month-to-month,48,no,no
100.44,2410.56,one year,63,no,no
89.32,89.32,two year,22,,no
57.8,4103.8,month-to-month,24,yes,no
92.01,,month-to-month,39,no,no
93.09,5492.31,month-to-month,13,yes,no
35.66,71.32,month-to-month,26,no,yes
75.46,2490.18,month-to-month,56,no,no
97.4,4675.2,one year,18,no,no
25.69,1772.61,month-to-month,42,no,yes
115.52,2772.48,month-to-month,3,no,yes
44.19,1590.84,month-to-month,59,no,yes
97.23,4569.81,two year,16,yes,no
48.94,2495.94,month-to-month,41,no,no
99.16,5949.6,one year,52,yes,no
77.35,3016.65,month-to-month,51,no,yes
92.93,1301.02,two year,63,yes,no
101.71,813.68,two year,24,,no
62.77,3828.97,one year,38,no,no
49.66,2135.38,two year,9,no,no
37.9,606.4,month-to-month,41,no,yes
114.95,7816.6,month-to-month,35,yes,no
76.93,1153.95,two year,71,no,no
29.55,1713.9,month-to-month,57,no,no
90.73,,month-to-month,43,no,no
,200.64,two year,56,yes,no
47.87,718.05,one year,3,yes,yes
34.56,898.56,two year,23,yes,no
96.48,6850.08,month-to-month,26,yes,no
32.98,2176.68,month-to-month,68,yes,no
44.2,88.4,month-to-month,10,no,no
88.22,5116.76,month-to-month,23,yes,yes
72.16,3247.2,month-to-month,45,yes,yes
52.17,2660.67,month-to-month,55,yes,yes
106.18,6158.44,one year,72,no,no
35.38,1309.06,month-to-month,45,yes,no
100.56,3217.92,month-to-month,23,no,yes
69.9,3075.6,two year,20,yes,no
74.8,2019.6,two year,69,no,yes
42.82,428.2,month-to-month,32,yes,yes
93.59,6644.89,one year,56,yes,no
32.84,1313.6,two year,14,,no
85.7,4884.9,month-to-month,9,no,no
,4021.6,two year,60,yes,yes
113.83,7854.27,two year,7,no,no
29.76,1726.08,month-to-month,49,yes,yes
116.85,1752.75,one year,28,no,yes
64.47,3030.09,two year,39,yes,no
87.48,3761.64,month-to-month,19,no,no
48.73,3118.72,month-to-month,55,yes,no
70.71,1767.75,month-to-month,61,no,no
47.68,524.48,month-to-month,32,yes,no
,106.56,month-to-month,64,no,no
97.25,2723,one year,1,no,yes
63.01,2331.37,month-to-month,1,yes,no
101.8,3461.2,month-to-month,1,no,no
84.93,254.79,month-to-month,28,yes,no
76.92,5230.56,two year,30,no,no
48.28,1448.4,month-to-month,25,no,no
58.56,1991.04,month-to-month,10,no,no
51.48,1595.88,month-to-month,57,no,no
71.02,1136.32,two year,3,yes,no
61.33,4293.1,,45,no,yes
33.26,1729.52,month-to-month,53,yes,no
36.68,366.8,one year,29,no,no
100.17,4808.16,month-to-month,53,yes,yes
111.18,7560.24,month-to-month,25,no,yes
77.69,3806.81,month-to-month,25,no,yes
59.81,598.1,two year,28,yes,no
81.81,1472.58,one year,50,yes,no
77.71,2175.88,month-to-month,8,no,no
56.87,341.22,one year,25,,no
36.12,1697.64,month-to-month,59,yes,no
64.84,1880.36,one year,63,yes,no
48.01,1920.4,two year,59,yes,no
54.53,2017.61,,8,no,yes
106.7,6615.4,month-to-month,65,no,no
46.32,138.96,two year,54,yes,no
59.45,1783.5,one year,60,,no
41.14,1974.72,month-to-month,18,yes,yes
84.8,3052.8,one year,59,no,no
104.66,2302.52,one year,56,yes,no
80.78,1696.38,one year,28,no,yes
23.84,548.32,,10,no,no
75.45,3998.85,one year,14,no,no
92.05,2945.6,one year,10,no,no
114.17,1027.53,two year,59,yes,no
61.37,3313.98,month-to-month,13,no,no
60.03,4202.1,one year,26,no,no
42.58,2341.9,one year,42,yes,no
108.62,3475.84,month-to-month,51,yes,no
29.36,939.52,one year,10,yes,no
33.97,,month-to-month,3,no,no
102.44,3482.96,two year,15,no,no
89.81,359.24,one year,57,yes,no
48.95,2643.3,month-to-month,60,no,no
109.56,219.12,one year,61,no,no
116.39,6867.01,month-to-month,37,no,no
51.54,721.56,one year,66,no,no
104.36,1565.4,month-to-month,50,yes,no
54.21,1897.35,two year,12,no,no
113.32,7139.16,two year,45,no,yes
37.41,1197.12,one year,64,yes,yes
94.99,284.97,month-to-month,27,no,no
37.88,909.12,one year,29,yes,no
70.51,3031.93,month-to-month,51,no,yes
67.28,269.12,two year,14,no,no
92.81,6032.65,month-to-month,50,yes,no
105.36,2423.28,month-to-month,54,yes,no
23.67,1017.81,one year,29,yes,yes
59.63,2206.31,one year,18,no,yes
65.91,790.92,month-to-month,4,no,no
64.73,194.19,month-to-month,8,no,no
56.9,1763.9,one year,72,,no
58.36,4143.56,month-to-month,72,,yes
89.19,1070.28,one year,24,no,no
44.12,3044.28,one year,37,no,no
58.04,232.16,one year,4,no,yes
66.92,3613.68,month-to-month,61,no,no
97.67,5762.53,one year,65,yes,yes
101.46,202.92,month-to-month,45,yes,no
,873.2,month-to-month,7,yes,no
45.81,1740.78,two year,65,no,yes
78.93,3788.64,one year,57,no,yes
41.43,2610.09,two year,51,yes,no
70.48,4369.76,,50,no,yes
78.06,2497.92,one year,32,yes,yes
109.58,2082.02,two year,12,no,no
25.23,883.05,one year,55,no,no
61.62,308.1,one year,31,yes,yes
106.57,7140.19,two year,67,no,no
78.77,2284.33,one year,11,yes,yes
104.26,834.08,,71,no,no
46.17,2862.54,one year,15,yes,no
84.52,6000.92,month-to-month,59,yes,no
76.44,5274.36,two year,56,yes,yes
24.93,124.65,month-to-month,25,no,yes
20.04,701.4,two year,17,yes,yes
116.24,7671.84,two year,61,no,yes
106.27,2444.21,month-to-month,17,yes,no
86.94,86.94,one year,20,no,yes
66.35,796.2,one year,57,no,yes
32.72,948.88,two year,44,yes,no
35.25,176.25,month-to-month,58,no,no
26.25,997.5,two year,35,yes,no
80.95,2428.5,two year,14,yes,no
109.08,3599.64,one year,18,no,no
89.35,2233.75,two year,12,,no
93.27,3264.45,month-to-month,39,yes,no
27.69,719.94,one year,52,yes,no
111.13,1889.21,month-to-month,3,no,no
70.38,70.38,month-to-month,36,no,no
43.95,2197.5,one year,57,,no
94.19,4050.17,one year,7,yes,no
27.47,906.51,one year,2,no,yes
50.72,3398.24,one year,6,no,yes
60.03,900.45,two year,5,yes,yes
73.4,1321.2,two year,44,yes,no
71.48,2716.24,month-to-month,61,yes,no
36.98,2551.62,month-to-month,35,yes,no
110.59,3870.65,month-to-month,34,,yes
107.18,5037.46,two year,54,yes,no
54.67,2952.18,one year,15,yes,no
45.78,3067.26,one year,15,yes,no
24.09,1397.22,one year,36,no,yes
85.23,85.23,month-to-month,12,yes,no
,347.76,two year,2,yes,no
30.31,60.62,one year,41,,yes
20,520,month-to-month,28,,no
105,4725,two year,62,yes,no
55.86,2513.7,two year,30,yes,no
93.05,4094.2,one year,69,yes,no
78.01,1638.21,month-to-month,64,yes,no
23.56,1437.16,two year,43,no,no
116.14,4994.02,month-to-month,5,no,no
64.9,3634.4,,11,yes,no
31.63,474.45,one year,31,yes,yes
74.43,1563.03,one year,4,yes,no
91.21,5381.39,one year,35,no,yes
73.09,2558.15,month-to-month,54,yes,no
105.5,2954,two year,11,yes,yes
89.09,5167.22,one year,69,yes,no
42.07,1682.8,month-to-month,64,yes,no
74.76,3887.52,two year,36,no,no
37.67,1732.82,month-to-month,43,,no
82.36,247.08,one year,22,,yes
41.75,835,month-to-month,68,yes,no
44.02,1100.5,two year,63,yes,no
73.08,511.56,month-to-month,53,yes,no
64.33,1801.24,month-to-month,6,,yes
91.42,5393.78,one year,19,yes,no
103.56,4970.88,month-to-month,41,no,no
59.24,1362.52,one year,13,yes,yes
39.75,2703,two year,72,no,no
43.06,2411.36,one year,13,no,yes
44.72,223.6,two year,60,no,yes
,2419.65,one year,36,,yes
87.21,,two year,70,no,no
41.56,2535.16,two year,11,no,no
31.28,563.04,month-to-month,38,no,no
22.2,777,one year,62,yes,no
110.79,6093.45,,9,,no
21.75,1326.75,month-to-month,28,no,no
26.74,935.9,one year,62,yes,no
57.73,3636.99,month-to-month,41,yes,no
92.02,1564.34,,39,no,yes
62.42,,one year,28,yes,yes
54.23,1789.59,,12,no,no
52.28,3555.04,one year,72,no,no
43.22,,month-to-month,30,,no
61.84,865.76,month-to-month,35,no,no
81.92,4997.12,two year,18,yes,yes
50.98,356.86,month-to-month,72,yes,no
31.49,2109.83,month-to-month,36,no,no
20.59,905.96,one year,29,yes,no
78.37,783.7,one year,32,yes,no
119.33,596.65,month-to-month,62,no,no
101.8,2341.4,two year,21,yes,no
,399.19,two year,14,yes,no
49,490,one year,38,,no
86.24,1379.84,two year,63,no,no
,4809.5,month-to-month,59,yes,no
26.78,1901.38,month-to-month,7,yes,no
63.35,4054.4,two year,72,yes,no
108.13,3892.68,month-to-month,43,no,no
74.84,5238.8,two year,36,yes,yes
110.41,4637.22,one year,66,yes,no
22.21,488.62,month-to-month,46,no,no
81.63,4652.91,one year,7,,yes
98.05,2549.3,one year,45,yes,no
88.99,177.98,month-to-month,11,,no
44.22,2874.3,two year,50,no,no
80,1760,two year,66,no,no
119.95,6117.45,two year,1,no,no
36.03,2233.86,month-to-month,62,no,no
54.1,3462.4,one year,47,no,yes
41.37,951.51,one year,70,no,yes
104.29,6987.43,one year,45,no,no
72.52,4278.68,one year,59,no,yes
62.84,1131.12,two year,6,no,yes
116.66,5133.04,month-to-month,27,no,no
39.11,782.2,,60,yes,no
82.62,495.72,one year,16,yes,no
55.02,2585.94,month-to-month,42,yes,no
69.75,4254.75,two year,27,yes,no
115.51,5197.95,month-to-month,63,no,no
31.41,1916.01,two year,37,no,yes
83.16,4074.84,two year,49,,no
49.32,591.84,two year,26,yes,no
,,month-to-month,18,yes,no
23.89,143.34,one year,7,no,no
99.52,2488,one year,31,no,no
25.02,150.12,two year,47,yes,no
119.63,1674.82,one year,17,yes,no
20.32,1361.44,month-to-month,44,yes,no
53.76,3010.56,two year,70,,yes
102.76,2980.04,one year,25,yes,yes
,3149.44,one year,28,no,yes
90.88,2090.24,month-to-month,9,no,no
85.02,680.16,month-to-month,70,yes,no
103.49,2380.27,month-to-month,69,,no
,3658.44,month-to-month,39,,yes
70.19,3509.5,one year,25,yes,no
67.08,1073.28,one year,72,no,no
66.39,1128.63,two year,54,no,no
99.74,4189.08,,49,yes,no
79.03,2054.78,one year,35,yes,no
72.59,2685.83,one year,20,yes,no
43.25,3027.5,month-to-month,60,no,no
29.26,848.54,month-to-month,71,,no
86.66,,one year,57,no,no
36.08,180.4,month-to-month,18,yes,no
54.73,2517.58,month-to-month,35,yes,no
93.31,6065.15,two year,15,,no
113.48,5106.6,two year,11,yes,no
101.94,6014.46,one year,59,no,no
61.48,2151.8,one year,37,yes,no
78.27,5087.55,month-to-month,44,yes,yes
33.3,1165.5,one year,43,no,no
73.21,4465.81,one year,44,yes,no
82.3,4773.4,month-to-month,9,no,yes
43.11,215.55,two year,25,no,no
102.19,6029.21,one year,55,yes,no
53.69,859.04,month-to-month,21,no,no
66.1,66.1,month-to-month,24,yes,no
69.65,4596.9,month-to-month,37,no,no
115.76,115.76,month-to-month,59,no,no
112,5376,month-to-month,23,yes,no
116.57,8159.9,month-to-month,6,yes,yes
54.3,1248.9,two year,21,no,no
64.27,1221.13,two year,9,yes,yes
77.28,2704.8,month-to-month,60,no,no
71.92,575.36,one year,60,no,no
26.03,1691.95,two year,33,no,yes
20.44,347.48,month-to-month,54,no,no
63.53,2731.79,two year,28,yes,no
115.23,1152.3,month-to-month,71,yes,no
70.65,4874.85,one year,4,yes,yes
76.27,4728.74,two year,28,yes,no
114.48,2976.48,month-to-month,18,yes,no
41.03,492.36,one year,21,yes,no
,1197.65,month-to-month,41,,no
36.26,36.26,one year,57,no,no
37.61,75.22,month-to-month,32,yes,no
60.79,3465.03,month-to-month,50,yes,no
37.93,682.74,two year,44,yes,yes
80.65,3064.7,month-to-month,38,yes,no
77.69,4506.02,two year,51,no,yes
33.65,1446.95,two year,2,no,no
54.61,2129.79,month-to-month,39,yes,no
23.05,1129.45,month-to-month,45,no,no
81.01,5427.67,month-to-month,68,yes,yes
35.58,1885.74,two year,40,no,yes
44.31,1905.33,two year,7,yes,no
43.23,2118.27,month-to-month,36,no,no
27.09,1300.32,month-to-month,49,yes,no
,941.76,two year,63,no,no
72.53,3118.79,one year,3,no,no
53.7,429.6,two year,56,yes,yes
69.06,4212.66,one year,11,no,yes
,3813.1,,50,no,no
,866.5,two year,4,no,no
47.53,1473.43,two year,32,no,no
67.48,1484.56,month-to-month,62,,yes
24.85,273.35,month-to-month,71,yes,no
103.72,1244.64,month-to-month,29,no,no
47.78,1051.16,two year,8,no,no
36.46,36.46,one year,59,no,yes
62.87,1383.14,two year,40,no,no
63.68,3311.36,month-to-month,46,no,yes
66.27,2849.61,two year,18,no,yes
104.14,,,50,yes,yes
27.7,55.4,two year,27,yes,yes
63.6,1399.2,two year,6,no,no
110.96,1886.32,month-to-month,22,yes,no
113.2,2264,month-to-month,54,yes,no
77.09,154.18,,72,yes,no
64.27,899.78,two year,17,no,no
62.66,2694.38,month-to-month,9,no,no
114.75,4360.5,two year,8,yes,yes
84.95,3058.2,two year,14,no,yes
92.36,4895.08,month-to-month,41,yes,yes
84.82,2120.5,month-to-month,20,no,no
32.04,865.08,month-to-month,5,yes,no
102.21,2453.04,one year,27,no,no
29.35,176.1,month-to-month,25,yes,no
48.96,2741.76,two year,1,yes,no
22.54,180.32,two year,26,yes,no
57.53,3336.74,month-to-month,13,yes,no
119.32,357.96,month-to-month,2,no,no
32.9,197.4,month-to-month,58,no,yes
,6868.36,one year,33,,no
86.86,2432.08,one year,61,no,no
96.65,676.55,month-to-month,2,no,no
49.09,2159.96,two year,46,no,no
29.51,1623.05,one year,27,,no
64.77,4533.9,two year,9,no,yes
105.79,7405.3,month-to-month,55,no,no
41.12,1973.76,one year,61,no,yes
52.37,418.96,two year,38,no,no
73.26,5054.94,one year,10,yes,no
45.19,2123.93,month-to-month,39,no,no
28.35,1020.6,two year,11,,no
,4535.01,two year,24,yes,no
40.68,2766.24,month-to-month,33,no,yes
36.78,2501.04,month-to-month,38,yes,no
65.42,3271,two year,43,yes,yes
28.76,1294.2,month-to-month,43,no,no
67.54,1958.66,month-to-month,49,yes,no
42.72,1324.32,month-to-month,13,,no
69.78,2302.74,one year,54,yes,yes
114.89,2987.14,one year,7,yes,yes
41.1,1109.7,month-to-month,54,,yes
46.44,928.8,one year,40,yes,yes
58.93,3712.59,month-to-month,16,yes,no
73.75,3908.75,one year,64,yes,yes
106.56,5434.56,month-to-month,71,no,yes
97.85,4696.8,month-to-month,48,yes,no
30.42,182.52,month-to-month,5,,no
77.09,5319.21,month-to-month,61,yes,yes
,2094.4,two year,51,yes,no
38.42,2113.1,month-to-month,5,yes,no
55.24,1381,one year,22,yes,no
43.73,1618.01,one year,19,yes,no
64.67,2845.48,month-to-month,57,no,no
101.02,6768.34,month-to-month,49,,yes
117.91,6485.05,month-to-month,41,no,yes
88.8,799.2,one year,50,,no
80.06,400.3,one year,36,yes,no
61.19,917.85,one year,56,yes,no
81.86,2783.24,two year,22,yes,yes
109.02,7413.36,two year,1,yes,no
33.22,1694.22,month-to-month,14,,no
34.18,2153.34,month-to-month,29,no,no
108.91,2396.02,month-to-month,64,yes,yes
67.51,877.63,two year,10,no,yes
83.51,2004.24,two year,15,no,no
21.24,1486.8,,8,yes,no
24.16,1256.32,,71,no,no
114.91,3677.12,,7,yes,yes
38.41,2227.78,two year,30,no,yes
88.56,5579.28,two year,30,no,no
43.22,2204.22,two year,57,yes,no
72.45,3477.6,month-to-month,62,yes,no
36.35,2253.7,month-to-month,48,no,yes
101.74,5188.74,month-to-month,69,no,no
109.99,1099.9,month-to-month,72,yes,no
98.28,1965.6,one year,48,yes,no
89.15,624.05,one year,49,yes,no
48.19,433.71,month-to-month,18,,yes
41.71,1793.53,one year,66,no,no
40.87,2002.63,one year,71,,no
101.01,3737.37,two year,43,no,yes
90.25,541.5,,53,yes,yes
95.73,2776.17,one year,11,yes,no
20.26,1438.46,one year,55,no,yes
30.14,1507,two year,34,yes,yes
64.57,322.85,one year,24,yes,no
83.24,3995.52,two year,54,yes,no
32.77,491.55,two year,69,no,no
103.82,4152.8,one year,39,no,no
52.24,1880.64,month-to-month,14,no,no
,3332.32,month-to-month,14,yes,yes
21.44,1500.8,one year,11,no,yes
80.71,1372.07,two year,10,no,no
116.72,2684.56,two year,59,yes,no
65.06,3057.82,two year,9,no,no
24.91,1345.14,month-to-month,67,no,yes
78.62,4245.48,month-to-month,10,no,no
107.94,3777.9,one year,12,no,no
76.58,2833.46,month-to-month,28,no,yes
64.53,1806.84,two year,59,,no
45.23,2668.57,two year,56,no,no
47.25,94.5,one year,48,,yes
115.66,2775.84,two year,68,no,no
28.02,1288.92,month-to-month,10,yes,yes
81.91,5078.42,month-to-month,37,no,no
23.42,23.42,one year,7,yes,no
49.72,2983.2,month-to-month,13,no,no
84.55,4903.9,,25,yes,yes
81.96,4425.84,month-to-month,61,no,no
28.01,224.08,two year,63,no,yes
52.17,1565.1,two year,14,yes,no
69.2,3944.4,one year,22,no,yes
87.41,4370.5,two year,66,yes,yes
66.53,1995.9,,42,no,no
50.98,3007.82,two year,54,no,no
55.72,1727.32,one year,38,no,no
59.87,2215.19,,39,no,yes
81.1,2108.6,two year,12,yes,yes
23.47,,two year,1,yes,yes
70.37,774.07,one year,12,yes,no
57.25,229,two year,11,,yes
110.69,7194.85,month-to-month,16,yes,no
69.23,4292.26,two year,5,,no
60.53,665.83,one year,62,yes,no
85.74,5830.32,one year,3,no,yes
58.21,640.31,two year,56,no,no
33.9,915.3,month-to-month,64,no,no
92.99,2882.69,two year,71,yes,no
52.7,1686.4,month-to-month,20,yes,no
83.18,332.72,two year,16,yes,yes
81.04,5429.68,month-to-month,59,yes,yes
90.11,1531.87,month-to-month,51,no,no
67.6,1892.8,two year,13,yes,no
65.45,3861.55,month-to-month,46,no,no
40.93,532.09,one year,16,yes,yes
107.36,3220.8,month-to-month,69,yes,no
108.4,3143.6,month-to-month,71,no,no
95.17,3426.12,month-to-month,71,no,yes
102.07,5103.5,one year,20,,yes
32.61,521.76,one year,45,no,no
102.75,2466,two year,21,no,no
31.36,2132.48,month-to-month,51,yes,no
79.61,2069.86,two year,17,no,no
89.28,4285.44,month-to-month,8,yes,no
35.41,566.56,,2,yes,yes
51.56,360.92,month-to-month,36,yes,no
92.5,1665,one year,39,no,no
74.19,296.76,two year,60,no,no
112.44,6409.08,month-to-month,54,yes,no
77.93,1792.39,month-to-month,55,yes,yes
83.56,2757.48,one year,9,no,no
109.46,328.38,month-to-month,61,no,yes
57.59,3340.22,month-to-month,66,yes,yes
38.04,2434.56,month-to-month,65,yes,yes
115.68,6478.08,one year,62,yes,no
21.91,1489.88,one year,67,yes,no
53.3,3198,one year,4,no,no
75.54,3172.68,one year,11,yes,no
84.56,1775.76,one year,60,yes,yes
100.04,500.2,one year,24,no,yes
78.54,1256.64,one year,69,no,no
100.9,5246.8,two year,6,,no
85.78,5661.48,month-to-month,51,,no
30.62,1959.68,two year,67,yes,no
79.25,4279.5,one year,69,no,yes
117.22,4219.92,two year,69,no,no
41.2,618,one year,68,,yes
113.44,,month-to-month,24,no,no
82.68,3968.64,one year,71,yes,no
76.64,536.48,two year,55,yes,yes
,6911.85,month-to-month,7,yes,no
23.99,1103.54,,20,no,no
,5708.37,one year,23,no,yes
50.33,603.96,two year,62,yes,yes
52.94,3599.92,two year,29,no,no
110.12,3083.36,two year,6,no,no
84.24,2695.68,month-to-month,16,,no
31.8,190.8,month-to-month,20,no,no
25.17,,one year,36,yes,no
83.15,4822.7,month-to-month,51,yes,no
74.39,4760.96,two year,62,no,no
,4413.3,one year,22,no,no
84.63,2708.16,two year,6,yes,no
113.8,7169.4,two year,15,no,no
61.74,1543.5,month-to-month,65,yes,no
38.79,581.85,month-to-month,24,no,no
87.23,,one year,44,no,no
,1607.84,month-to-month,57,yes,no
108.74,6959.36,one year,22,yes,yes
32.48,259.84,month-to-month,35,yes,yes
116.58,5012.94,one year,29,yes,no
51.97,103.94,one year,30,yes,no
118.27,3429.83,month-to-month,13,,no
39.95,2117.35,two year,43,,yes
96.84,5035.68,month-to-month,60,no,no
77.72,777.2,one year,48,no,no
54.95,2637.6,month-to-month,20,no,no
77.45,4027.4,month-to-month,52,,yes
,2337.4,month-to-month,4,,no
118.6,4862.6,one year,12,no,no
101.03,707.21,,28,yes,yes
74.99,2474.67,two year,19,yes,yes
76.15,837.65,two year,57,yes,no
73.46,1395.74,month-to-month,55,no,yes
70.21,3650.92,month-to-month,63,no,no
103.5,3415.5,one year,12,yes,yes
73.62,3460.14,one year,69,yes,no
36.15,36.15,one year,65,yes,yes
41.96,1132.92,two year,61,,no
49.53,3516.63,one year,5,no,no
107.41,644.46,two year,45,yes,no
65.89,3558.06,,63,no,no
21.97,351.52,month-to-month,13,no,no
107.74,4740.56,one year,58,no,no
48.25,1206.25,one year,6,yes,no
104.14,6352.54,one year,13,no,no
106.44,2022.36,month-to-month,39,yes,no
65.85,1777.95,one year,24,no,no
37.86,340.74,one year,33,no,no
90.83,5994.78,month-to-month,39,no,no
43.14,2286.42,one year,65,yes,no
61.8,3028.2,two year,10,yes,no
90.93,2727.9,one year,4,yes,no
23.75,1401.25,two year,50,yes,yes
32.92,526.72,month-to-month,44,no,no
68.07,3948.06,month-to-month,29,yes,yes
60.47,4293.37,one year,58,yes,no
90.66,,two year,67,no,no
24.52,416.84,month-to-month,48,no,yes
36.63,952.38,month-to-month,24,yes,no
65.56,786.72,one year,27,no,no
27.34,1421.68,one year,70,no,no
68.41,3215.27,month-to-month,28,no,no
28.69,1090.22,one year,34,yes,yes
67.44,4788.24,one year,59,yes,no
96.91,3391.85,,67,,no
102.73,6369.26,one year,13,no,no
114.3,1600.2,one year,31,no,no
,5558.59,one year,35,yes,no
101.52,4568.4,one year,58,yes,no
,6664.77,month-to-month,6,,no
116.84,6309.36,month-to-month,50,yes,no
36.36,2472.48,one year,32,no,no
117.56,2703.88,two year,20,no,no
48.74,2193.3,two year,47,yes,no
104.33,1043.3,month-to-month,44,no,no
31.57,315.7,one year,53,no,no
74.41,1562.61,month-to-month,21,yes,yes
37.07,593.12,month-to-month,50,yes,no
52.69,1317.25,month-to-month,45,yes,no
71.8,1292.4,one year,23,yes,no
22,308,month-to-month,47,no,no
22.53,270.36,one year,17,no,no
69.64,2646.32,month-to-month,4,no,yes
55.6,2613.2,month-to-month,72,no,yes
96.24,3657.12,,23,yes,no
78.2,782,month-to-month,56,,no
28.41,1079.58,one year,3,yes,no
47.75,2626.25,one year,2,yes,yes
,3237.52,one year,39,yes,no
37.4,673.2,month-to-month,20,no,yes
50.47,1615.04,month-to-month,2,no,no
87.65,2278.9,two year,29,yes,no
98.32,5112.64,one year,7,no,yes
91.65,549.9,two year,32,no,yes
89.5,716,one year,34,no,yes
26.7,267,one year,14,yes,yes
89,5162,month-to-month,37,no,no
100.54,6334.02,month-to-month,2,yes,no
85.89,4466.28,one year,34,no,no
87.98,1495.66,,32,yes,no
73.59,1471.8,month-to-month,30,,yes
111.85,3579.2,month-to-month,38,no,yes
80.35,5062.05,two year,53,no,yes
78.42,5410.98,one year,39,no,no
106.8,2563.2,one year,16,no,yes
70.01,3850.55,one year,27,yes,no
40.93,1882.78,two year,70,yes,yes
111.28,4228.64,two year,6,no,no
64.69,2975.74,month-to-month,51,no,yes
71.96,1079.4,two year,72,,no
53.75,2257.5,month-to-month,63,yes,yes
56.67,1643.43,one year,47,,yes
71.91,3811.23,one year,7,no,no
68.36,2871.12,one year,62,yes,no
99.64,6177.68,two year,50,no,no
103.99,,one year,64,no,yes
46.8,1450.8,month-to-month,42,yes,no
23.82,452.58,month-to-month,48,no,no
104.16,5103.84,one year,55,no,no
22.37,559.25,two year,19,yes,no
106.23,2655.75,two year,67,no,no
89.8,4310.4,one year,16,yes,no
101.73,406.92,month-to-month,1,no,no
59.45,2140.2,one year,66,,no
74.24,5048.32,one year,50,yes,yes
91.56,2746.8,one year,37,no,yes
88.05,2729.55,two year,30,yes,no
83.73,5358.72,one year,12,no,yes
86.13,4651.02,month-to-month,8,yes,no
33.23,332.3,month-to-month,25,no,no
111.13,5111.98,one year,34,yes,no
26.73,1416.69,,17,yes,no
62.24,1991.68,month-to-month,13,yes,yes
43.81,2891.46,month-to-month,58,no,yes
